Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDT36,12.300000190734863,Low Fat,0.11144759505987167,Baking Goods,33.48740005493164,OUT049,1999,Medium,Tier1,Supermarket Type1,436.6087341308594
FDT36,12.300000190734863,Low Fat,0.11190400272607803,Baking Goods,33.98740005493164,OUT017,2007,Medium,Tier 2,Supermarket Type1,443.1277160644531
FDT36,12.300000190734863,LF,0.11172787845134735,Baking Goods,33.98740005493164,OUT018,2009,Medium,Tier 3,Supermarket Type2,564.598388671875
FDT36,12.300000190734863,Low Fat,0.0,Baking Goods,34.38740158081055,OUT019,1985,Small,Tier1,Grocery Store,1719.3699951171875
FDP12,9.800000190734863,Regular,0.04552285373210907,Baking Goods,35.087398529052734,OUT017,2007,Medium,Tier 2,Supermarket Type1,352.8739929199219
FDT36,12.300000190734863,Low Fat,0.1112745925784111,Baking Goods,35.087398529052734,OUT046,1997,Small,Tier1,Supermarket Type1,458.7362060546875
FDQ36,7.855000019073486,Regular,0.16141299903392792,Baking Goods,35.2848014831543,OUT013,1987,High,Tier 3,Supermarket Type1,299.3350830078125
FDT36,7.855000019073486,Low Fat,0.11073573678731918,Baking Goods,35.28739929199219,OUT027,1985,Medium,Tier 3,Supermarket Type3,988.0471801757812
FDQ36,7.855000019073486,Regular,0.16187506914138794,Baking Goods,35.68479919433594,OUT045,2002,Small,Tier 2,Supermarket Type1,335.5632019042969
FDT36,12.300000190734863,Low Fat,0.11150025576353073,Baking Goods,35.687400817871094,OUT045,2002,Small,Tier 2,Supermarket Type1,846.8975830078125
FDP12,9.800000190734863,Regular,0.04525824636220932,Baking Goods,35.98740005493164,OUT035,2004,Small,Tier 2,Supermarket Type1,282.2991943359375
FDT36,12.300000190734863,Low Fat,0.11125355213880539,Baking Goods,36.087398529052734,OUT035,2004,Small,Tier 2,Supermarket Type1,483.8237609863281
FDP12,9.800000190734863,Regular,0.04535860940814018,Baking Goods,36.187400817871094,OUT045,2002,Small,Tier 2,Supermarket Type1,423.44879150390625
FDQ36,7.855000019073486,Regular,0.1622055172920227,Baking Goods,36.2848014831543,OUT018,2009,Medium,Tier 3,Supermarket Type2,1155.828857421875
FDP12,9.800000190734863,Regular,0.04545120522379875,Baking Goods,36.28739929199219,OUT018,2009,Medium,Tier 3,Supermarket Type2,384.0658264160156
FDP12,5.764999866485596,Regular,0.04504759982228279,Baking Goods,36.48740005493164,OUT027,1985,Medium,Tier 3,Supermarket Type3,809.974365234375
FDW23,5.764999866485596,Low Fat,0.0819440484046936,Baking Goods,36.716400146484375,OUT013,1987,High,Tier 3,Supermarket Type1,849.560791015625
FDP12,9.800000190734863,Regular,0.04533718526363373,Baking Goods,36.88740158081055,OUT049,1999,Medium,Tier1,Supermarket Type1,564.598388671875
FDP12,9.800000190734863,Regular,0.045266807079315186,Baking Goods,36.98740005493164,OUT046,1997,Small,Tier1,Supermarket Type1,705.7479858398438
FDW23,5.764999866485596,Low Fat,0.08217861503362656,Baking Goods,37.01639938354492,OUT045,2002,Small,Tier 2,Supermarket Type1,540.6295776367188
FDQ36,7.855000019073486,Regular,0.16151688992977142,Baking Goods,37.084800720214844,OUT035,2004,Small,Tier 2,Supermarket Type1,447.4176025390625
FDP12,9.800000190734863,Regular,0.04522913694381714,Baking Goods,37.187400817871094,OUT013,1987,High,Tier 3,Supermarket Type1,386.3027038574219
FDW23,5.764999866485596,Low Fat,0.08213979750871658,Baking Goods,37.216400146484375,OUT049,1999,Medium,Tier1,Supermarket Type1,579.2459716796875
FDQ36,7.855000019073486,Regular,0.1617986112833023,Baking Goods,37.2848014831543,OUT049,1999,Medium,Tier1,Supermarket Type1,745.6959838867188
FDT36,12.300000190734863,Low Fat,0.18625085055828094,Baking Goods,37.28739929199219,OUT010,1998,Medium,Tier 3,Grocery Store,176.43699645996094
FDT36,12.300000190734863,Low Fat,0.0,Baking Goods,37.28739929199219,OUT013,1987,High,Tier 3,Supermarket Type1,705.7479858398438
FDW23,12.300000190734863,Low Fat,0.1435929387807846,Baking Goods,37.31639862060547,OUT019,1985,Small,Tier1,Grocery Store,38.61640167236328
FDW23,5.764999866485596,Low Fat,0.08201229572296143,Baking Goods,37.51639938354492,OUT046,1997,Small,Tier1,Supermarket Type1,656.4788208007812
FDQ36,7.855000019073486,Regular,0.0,Baking Goods,38.18479919433594,OUT019,1985,Small,Tier1,Grocery Store,37.2848014831543
FDQ36,7.855000019073486,Regular,0.0,Baking Goods,38.38479995727539,OUT046,1997,Small,Tier1,Supermarket Type1,932.1199951171875
FDW23,5.764999866485596,Low Fat,0.0816151425242424,Baking Goods,38.61640167236328,OUT027,1985,Medium,Tier 3,Supermarket Type3,473.1523742675781
FDW23,5.764999866485596,Low Fat,0.0824761912226677,Baking Goods,38.81639862060547,OUT017,2007,Medium,Tier 2,Supermarket Type1,239.44090270996094
FDW23,5.764999866485596,Low Fat,0.0823463723063469,Baking Goods,38.81639862060547,OUT018,2009,Medium,Tier 3,Supermarket Type2,237.20314025878906
FDQ36,5.764999866485596,Regular,0.160765141248703,Baking Goods,39.084800720214844,OUT027,1985,Medium,Tier 3,Supermarket Type3,243.1173858642578
FDQ36,7.855000019073486,Regular,0.16246122121810913,Baking Goods,39.2848014831543,OUT017,2007,Medium,Tier 2,Supermarket Type1,857.5504150390625
FDM60,10.800000190734863,Regular,0.0,Baking Goods,39.31380081176758,OUT013,1987,High,Tier 3,Supermarket Type1,1015.344970703125
FDM60,10.800000190734863,Regular,0.08058200031518936,Baking Goods,39.41379928588867,OUT010,1998,Medium,Tier 3,Grocery Store,451.20916748046875
FDM60,10.800000190734863,Regular,0.04791015759110451,Baking Goods,39.81380081176758,OUT027,1985,Medium,Tier 3,Supermarket Type3,831.0095825195312
FDR36,6.715000152587891,Regular,0.121586374938488,Baking Goods,40.0453987121582,OUT046,1997,Small,Tier1,Supermarket Type1,285.0391540527344
FDW23,5.764999866485596,Low Fat,0.08199678361415863,Baking Goods,40.11640167236328,OUT035,2004,Small,Tier 2,Supermarket Type1,540.6295776367188
FDM60,10.800000190734863,Regular,0.04814329370856285,Baking Goods,40.21379852294922,OUT046,1997,Small,Tier1,Supermarket Type1,690.4345703125
FDR36,6.715000152587891,Regular,0.12148519605398178,Baking Goods,40.245399475097656,OUT013,1987,High,Tier 3,Supermarket Type1,587.235595703125
FDM60,10.800000190734863,Regular,0.04813418909907341,Baking Goods,40.31380081176758,OUT035,2004,Small,Tier 2,Supermarket Type1,461.51239013671875
FDR36,6.715000152587891,reg,0.12227411568164825,Baking Goods,40.345401763916016,OUT017,2007,Medium,Tier 2,Supermarket Type1,838.9080200195312
FDM60,10.800000190734863,Regular,0.0842926874756813,Baking Goods,40.613800048828125,OUT019,1985,Small,Tier1,Grocery Store,481.8187561035156
FDM60,10.800000190734863,Regular,0.0,Baking Goods,40.71379852294922,OUT017,2007,Medium,Tier 2,Supermarket Type1,406.13800048828125
FDM60,10.800000190734863,Regular,0.04824092984199524,Baking Goods,41.01380157470703,OUT045,2002,Small,Tier 2,Supermarket Type1,469.5259704589844
FDR36,6.715000152587891,Regular,0.20351067185401917,Baking Goods,41.0453987121582,OUT010,1998,Medium,Tier 3,Grocery Store,251.67239379882812
